time (millisec),position_value (degree)
1,240.29
2,240.29
3,240.21
4,240.21
5,240.21
6,240.21
7,240.21
8,240.21
9,240.21
10,240.21
11,240.21
12,240.12
13,240.12
14,240.12
15,240.12
16,240.12
17,240.12
18,240.12
19,240.12
20,240.12
21,240.12
22,240.12
23,240.12
24,240.03
26,240.03
27,240.03
28,240.03
29,240.03
30,240.03
31,240.03
32,240.03
33,240.12
34,240.12
35,240.03
36,240.12
37,240.12
38,240.03
39,240.03
40,240.03
41,240.03
43,240.03
44,240.03
45,240.03
46,240.03
47,240.03
48,240.03
49,240.03
50,240.03
51,240.03
52,240.03
53,240.03
54,240.03
55,240.03
56,240.03
57,240.03
58,240.12
60,240.03
61,240.03
62,240.03
63,240.03
64,240.03
65,240.03
66,240.03
67,240.03
68,240.03
69,240.03
70,240.03
71,240.03
72,240.03
73,240.03
74,240.03
75,240.03
76,240.03
77,240.03
78,240.03
79,240.03
80,240.03
81,240.03
82,240.03
83,240.03
84,240.03
86,240.03
87,240.03
88,240.03
89,240.03
90,240.03
91,240.03
92,240.03
93,240.03
95,240.03
96,240.03
97,240.03
98,240.03
99,240.03
100,240.03
101,240.03
102,240.03
103,240.03
104,240.03
105,240.03
106,240.03
107,240.03
108,240.03
109,240.03
111,240.03
112,240.03
113,240.03
114,240.03
115,240.03
116,240.03
117,240.03
118,240.03
119,240.03
120,240.03
121,240.03
122,240.03
124,240.03
125,240.03
126,240.03
128,240.03
129,240.03
130,240.03
131,240.03
132,240.03
133,240.03
134,240.03
135,240.03
136,240.03
138,240.03
139,240.03
140,240.03
141,240.03
142,240.03
143,240.03
144,240.03
145,240.03
146,240.03
147,240.03
148,240.03
149,240.03
151,240.03
152,240.03
153,240.03
154,240.03
155,240.03
156,240.03
157,240.03
158,240.03
159,240.03
160,240.03
161,240.03
163,240.03
164,240.03
165,240.03
166,240.03
167,240.03
168,240.03
169,240.03
171,240.03
172,240.03
173,240.03
174,240.03
175,240.03
177,240.03
178,240.03
179,240.03
180,240.03
181,240.03
182,240.03
183,240.03
184,240.03
185,240.03
186,240.03
187,240.03
188,240.03
190,240.03
191,240.03
192,240.03
193,240.03
194,240.03
195,240.03
196,240.03
197,240.03
198,240.03
199,240.03
200,240.03
201,240.03
203,240.03
204,240.03
205,240.03
206,240.03
207,240.03
208,240.03
209,240.03
210,240.03
211,240.03
212,240.03
214,240.03
215,240.03
217,240.03
218,240.03
219,240.03
220,240.03
221,240.03
222,240.03
223,240.03
224,240.03
225,240.03
226,240.03
227,240.03
228,240.03
230,240.03
231,240.03
232,240.03
233,240.03
234,240.03
235,239.94
236,240.03
237,240.03
238,240.03
239,240.03
240,240.03
241,240.03
243,239.94
244,239.94
245,240.03
246,240.03
247,240.03
248,240.03
249,240.03
250,239.94
251,240.03
252,239.94
253,240.03
256,240.03
257,240.03
258,240.03
259,240.03
260,240.03
261,240.03
262,239.94
263,239.94
264,239.94
265,240.03
266,240.03
267,239.94
269,239.94
270,239.94
271,239.94
272,239.94
273,240.03
274,240.03
275,240.03
276,239.94
277,239.94
278,239.94
279,239.94
281,239.94
282,239.94
283,239.94
284,240.03
285,239.94
286,239.94
287,239.94
288,239.94
289,239.94
290,239.94
291,239.94
293,239.94
294,239.94
295,239.94
296,239.94
297,239.94
299,239.94
300,239.94
301,239.85
302,239.85
303,239.85
305,239.85
306,239.85
307,239.94
308,239.85
309,239.85
310,239.77
311,239.85
312,239.85
313,239.77
314,239.77
315,239.77
317,239.77
318,239.68
319,239.68
320,239.68
321,239.68
322,239.68
323,239.68
324,239.68
325,239.68
326,239.59
328,239.59
329,239.68
330,239.59
331,239.59
332,239.5
333,239.5
334,239.5
335,239.41
336,239.41
337,239.33
338,239.24
340,239.24
342,239.15
343,239.06
344,238.97
345,238.97
346,238.89
